"","V1","V2"
"6 0 100 2 -9",0,108
"6 0 100 2 -8",0.0101522842639594,197
"6 0 100 2 -7",0.0268456375838926,298
"6 0 100 2 -6",0.0375275938189845,453
"6 0 100 2 -5",0.0566298342541436,724
"6 0 100 2 -4",0.0814814814814815,945
"6 0 100 2 -3",0.144042232277526,1326
"6 0 100 2 -2",0.246753246753247,1771
"6 0 100 2 -1",0.386313465783664,2265
"6 0 100 2 0",0.561195251739664,2443
"6 0 100 2 1",0.724030316540348,2243
"6 0 100 2 2",0.853864734299517,1656
"6 0 100 2 3",0.910843373493976,1245
"6 0 100 2 4",0.968347010550996,853
"6 0 100 2 5",0.974481658692185,627
"6 0 100 2 6",0.985074626865672,402
"6 0 100 2 7",1,258
"6 0 100 2 8",0.993506493506494,154
"6 0 100 2 9",1,80
"6 0 100 2 10",1,67
"7 0 100 2 -10",0,87
"7 0 100 2 -9",0.00628930817610063,159
"7 0 100 2 -8",0,236
"7 0 100 2 -7",0.0106666666666667,375
"7 0 100 2 -6",0.0131086142322097,534
"7 0 100 2 -5",0.027359781121751,731
"7 0 100 2 -4",0.0474777448071217,1011
"7 0 100 2 -3",0.114850036576445,1367
"7 0 100 2 -2",0.188159437280188,1706
"7 0 100 2 -1",0.33609756097561,2050
"7 0 100 2 0",0.561771561771562,2145
"7 0 100 2 1",0.761108456760631,2093
"7 0 100 2 2",0.870608899297424,1708
"7 0 100 2 3",0.935658914728682,1290
"7 0 100 2 4",0.967294350842418,1009
"7 0 100 2 5",0.987933634992459,663
"7 0 100 2 6",0.988913525498891,451
"7 0 100 2 7",1,332
"7 0 100 2 8",1,212
"7 0 100 2 9",1,151
"7 0 100 2 10",1,66
"8 0 100 2 -10",0,114
"8 0 100 2 -9",0.00531914893617021,188
"8 0 100 2 -8",0,291
"8 0 100 2 -7",0.00259067357512953,386
"8 0 100 2 -6",0.00701754385964912,570
"8 0 100 2 -5",0.0135970333745365,809
"8 0 100 2 -4",0.0311284046692607,1028
"8 0 100 2 -3",0.0755007704160247,1298
"8 0 100 2 -2",0.139912554653342,1601
"8 0 100 2 -1",0.268388545760809,1781
"8 0 100 2 0",0.586856851757514,1963
"8 0 100 2 1",0.824181360201511,1985
"8 0 100 2 2",0.927740355174525,1633
"8 0 100 2 3",0.973950795947902,1382
"8 0 100 2 4",0.986213235294118,1088
"8 0 100 2 5",0.99609375,768
"8 0 100 2 6",0.998148148148148,540
"8 0 100 2 7",1,358
"8 0 100 2 8",0.996350364963504,274
"8 0 100 2 9",1,170
"8 0 100 2 10",1,124
"9 0 100 2 -10",0,148
"9 0 100 2 -9",0,204
"9 0 100 2 -8",0,292
"9 0 100 2 -7",0,462
"9 0 100 2 -6",0.00164203612479475,609
"9 0 100 2 -5",0.00739827373612824,811
"9 0 100 2 -4",0.0119705340699816,1086
"9 0 100 2 -3",0.0260162601626016,1230
"9 0 100 2 -2",0.0671280276816609,1445
"9 0 100 2 -1",0.171954314720812,1576
"9 0 100 2 0",0.595870206489675,1695
"9 0 100 2 1",0.926868044515103,1887
"9 0 100 2 2",0.977299185098952,1718
"9 0 100 2 3",0.98768115942029,1380
"9 0 100 2 4",0.998211091234347,1118
"9 0 100 2 5",0.998819362455726,847
"9 0 100 2 6",1,599
"9 0 100 2 7",1,416
"9 0 100 2 8",0.99672131147541,305
"9 0 100 2 9",1,225
"9 0 100 2 10",1,140
"1 1 100 2 -10",0,2
"1 1 100 2 -9",NA,0
"1 1 100 2 -8",0,4
"1 1 100 2 -7",0,5
"1 1 100 2 -6",0.0384615384615385,26
"1 1 100 2 -5",0.123595505617978,89
"1 1 100 2 -4",0.137339055793991,233
"1 1 100 2 -3",0.221388367729831,533
"1 1 100 2 -2",0.322552447552448,1144
"1 1 100 2 -1",0.436233611442193,2517
"1 1 100 2 0",0.563076923076923,10075
"1 1 100 2 1",0.651162790697674,2451
"1 1 100 2 2",0.746333045729077,1159
"1 1 100 2 3",0.828571428571429,560
"1 1 100 2 4",0.890196078431372,255
"1 1 100 2 5",0.922222222222222,90
"1 1 100 2 6",0.925,40
"1 1 100 2 7",1,17
"1 1 100 2 8",0.75,4
"1 1 100 2 9",1,3
"1 1 100 2 10",1,3
"2 1 100 2 -10",0,5
"2 1 100 2 -9",0,10
"2 1 100 2 -8",0.0740740740740741,27
"2 1 100 2 -7",0.0588235294117647,51
"2 1 100 2 -6",0.0631578947368421,95
"2 1 100 2 -5",0.147540983606557,183
"2 1 100 2 -4",0.17379679144385,374
"2 1 100 2 -3",0.234680573663625,767
"2 1 100 2 -2",0.328083989501312,1524
"2 1 100 2 -1",0.416607015032212,2794
"2 1 100 2 0",0.558862001308044,6116
"2 1 100 2 1",0.678173318950018,2781
"2 1 100 2 2",0.776942355889724,1596
"2 1 100 2 3",0.837125748502994,835
"2 1 100 2 4",0.901328273244782,527
"2 1 100 2 5",0.918367346938776,245
"2 1 100 2 6",0.946969696969697,132
"2 1 100 2 7",0.957142857142857,70
"2 1 100 2 8",0.947368421052632,38
"2 1 100 2 9",1,6
"2 1 100 2 10",1,8
"3 1 100 2 -10",0,16
"3 1 100 2 -9",0.04,25
"3 1 100 2 -8",0.0227272727272727,44
"3 1 100 2 -7",0.0689655172413793,116
"3 1 100 2 -6",0.0714285714285714,196
"3 1 100 2 -5",0.0989010989010989,364
"3 1 100 2 -4",0.129807692307692,624
"3 1 100 2 -3",0.239385727190605,1107
"3 1 100 2 -2",0.308716707021792,1652
"3 1 100 2 -1",0.451576994434137,2695
"3 1 100 2 0",0.556378791386895,4319
"3 1 100 2 1",0.682875998610629,2879
"3 1 100 2 2",0.79440704298291,1931
"3 1 100 2 3",0.831223628691983,1185
"3 1 100 2 4",0.907172995780591,711
"3 1 100 2 5",0.94919168591224,433
"3 1 100 2 6",0.96551724137931,232
"3 1 100 2 7",0.992125984251969,127
"3 1 100 2 8",0.986842105263158,76
"3 1 100 2 9",1,33
"3 1 100 2 10",1,15
"4 1 100 2 -10",0.0303030303030303,33
"4 1 100 2 -9",0,41
"4 1 100 2 -8",0.0105263157894737,95
"4 1 100 2 -7",0.0382165605095541,157
"4 1 100 2 -6",0.040983606557377,244
"4 1 100 2 -5",0.0906921241050119,419
"4 1 100 2 -4",0.106870229007634,786
"4 1 100 2 -3",0.186666666666667,1200
"4 1 100 2 -2",0.299107142857143,1792
"4 1 100 2 -1",0.407268170426065,2394
"4 1 100 2 0",0.565034544908381,3329
"4 1 100 2 1",0.700389105058366,2570
"4 1 100 2 2",0.793484262838211,1811
"4 1 100 2 3",0.887605850654349,1299
"4 1 100 2 4",0.916372202591284,849
"4 1 100 2 5",0.958878504672897,535
"4 1 100 2 6",0.972299168975069,361
"4 1 100 2 7",0.984848484848485,198
"4 1 100 2 8",1,129
"4 1 100 2 9",1,69
"4 1 100 2 10",1,42
"5 1 100 2 -10",0,36
"5 1 100 2 -9",0,71
"5 1 100 2 -8",0.0143884892086331,139
"5 1 100 2 -7",0.0230414746543779,217
"5 1 100 2 -6",0.0384615384615385,364
"5 1 100 2 -5",0.0467937608318891,577
"5 1 100 2 -4",0.109638554216867,830
"5 1 100 2 -3",0.172643869891576,1199
"5 1 100 2 -2",0.271519352975159,1731
"5 1 100 2 -1",0.405752212389381,2260
"5 1 100 2 0",0.573758058399697,2637
"5 1 100 2 1",0.722671203743088,2351
"5 1 100 2 2",0.81619937694704,1926
"5 1 100 2 3",0.898407884761183,1319
"5 1 100 2 4",0.942468619246862,956
"5 1 100 2 5",0.967213114754098,671
"5 1 100 2 6",0.973799126637555,458
"5 1 100 2 7",0.996296296296296,270
"5 1 100 2 8",1,194
"5 1 100 2 9",1,113
"5 1 100 2 10",1,64
"6 1 100 2 -10",0,63
"6 1 100 2 -9",0,101
"6 1 100 2 -8",0,174
"6 1 100 2 -7",0.0117647058823529,255
"6 1 100 2 -6",0.0236406619385343,423
"6 1 100 2 -5",0.037037037037037,675
"6 1 100 2 -4",0.0757238307349666,898
"6 1 100 2 -3",0.112324492979719,1282
"6 1 100 2 -2",0.224885844748858,1752
"6 1 100 2 -1",0.342189647274393,2183
"6 1 100 2 0",0.56140350877193,2394
"6 1 100 2 1",0.748201438848921,2224
"6 1 100 2 2",0.86472889882616,1789
"6 1 100 2 3",0.914814814814815,1350
"6 1 100 2 4",0.958891013384321,1046
"6 1 100 2 5",0.962765957446808,752
"6 1 100 2 6",0.990439770554493,523
"6 1 100 2 7",1,350
"6 1 100 2 8",0.995515695067265,223
"6 1 100 2 9",1,145
"6 1 100 2 10",0.98936170212766,94
"7 1 100 2 -10",0,89
"7 1 100 2 -9",0,112
"7 1 100 2 -8",0,236
"7 1 100 2 -7",0.00305810397553517,327
"7 1 100 2 -6",0.0121703853955375,493
"7 1 100 2 -5",0.0269905533063428,741
"7 1 100 2 -4",0.0489443378119002,1042
"7 1 100 2 -3",0.0922959572845156,1311
"7 1 100 2 -2",0.174233128834356,1630
"7 1 100 2 -1",0.304691358024691,2025
"7 1 100 2 0",0.555817239755064,2123
"7 1 100 2 1",0.808488063660477,1885
"7 1 100 2 2",0.908045977011494,1653
"7 1 100 2 3",0.958429561200924,1299
"7 1 100 2 4",0.981963927855711,998
"7 1 100 2 5",0.991048593350384,782
"7 1 100 2 6",0.996805111821086,626
"7 1 100 2 7",0.99537037037037,432
"7 1 100 2 8",1,282
"7 1 100 2 9",1,209
"7 1 100 2 10",1,125
"8 1 100 2 -10",0,110
"8 1 100 2 -9",0,159
"8 1 100 2 -8",0,264
"8 1 100 2 -7",0,369
"8 1 100 2 -6",0.00743494423791822,538
"8 1 100 2 -5",0.00772200772200772,777
"8 1 100 2 -4",0.0212550607287449,988
"8 1 100 2 -3",0.0495207667731629,1252
"8 1 100 2 -2",0.103985056039851,1606
"8 1 100 2 -1",0.246494066882416,1854
"8 1 100 2 0",0.588327253778009,1919
"8 1 100 2 1",0.87515006002401,1666
"8 1 100 2 2",0.945707070707071,1584
"8 1 100 2 3",0.985315712187959,1362
"8 1 100 2 4",0.997330960854093,1124
"8 1 100 2 5",0.998913043478261,920
"8 1 100 2 6",0.997146932952924,701
"8 1 100 2 7",1,472
"8 1 100 2 8",0.997032640949555,337
"8 1 100 2 9",1,216
"8 1 100 2 10",1,155
"9 1 100 2 -10",0,128
"9 1 100 2 -9",0,190
"9 1 100 2 -8",0,283
"9 1 100 2 -7",0,420
"9 1 100 2 -6",0,561
"9 1 100 2 -5",0.00396825396825397,756
"9 1 100 2 -4",0.00464252553389044,1077
"9 1 100 2 -3",0.0138142747505756,1303
"9 1 100 2 -2",0.0459119496855346,1590
"9 1 100 2 -1",0.088681446907818,1714
"9 1 100 2 0",0.573020527859238,1705
"9 1 100 2 1",NA,0
"9 1 100 2 2",NA,0
"9 1 100 2 3",NA,0
"9 1 100 2 4",NA,0
"9 1 100 2 5",NA,0
"9 1 100 2 6",NA,0
"9 1 100 2 7",NA,0
"9 1 100 2 8",NA,0
"9 1 100 2 9",NA,0
"9 1 100 2 10",NA,0
"1 0 010 0 -10",NA,0
"1 0 010 0 -9",NA,0
"1 0 010 0 -8",NA,0
"1 0 010 0 -7",0,1
"1 0 010 0 -6",0,5
"1 0 010 0 -5",0,7
"1 0 010 0 -4",0.111111111111111,18
"1 0 010 0 -3",0.208333333333333,72
"1 0 010 0 -2",0.225806451612903,186
"1 0 010 0 -1",0.382405745062837,557
"1 0 010 0 0",0.464211832850641,4834
"1 0 010 0 1",NA,0
"1 0 010 0 2",NA,0
"1 0 010 0 3",NA,0
"1 0 010 0 4",NA,0
"1 0 010 0 5",NA,0
"1 0 010 0 6",NA,0
"1 0 010 0 7",NA,0
"1 0 010 0 8",NA,0
"1 0 010 0 9",NA,0
"1 0 010 0 10",NA,0
"2 0 010 0 -10",0,2
"2 0 010 0 -9",0,1
"2 0 010 0 -8",0,2
"2 0 010 0 -7",0,6
"2 0 010 0 -6",0,14
"2 0 010 0 -5",0.105263157894737,38
"2 0 010 0 -4",0.128571428571429,70
"2 0 010 0 -3",0.207650273224044,183
"2 0 010 0 -2",0.291666666666667,384
"2 0 010 0 -1",0.355501813784764,827
"2 0 010 0 0",0.470156555772994,2044
"2 0 010 0 1",0.558528428093645,598
"2 0 010 0 2",0.663430420711974,309
"2 0 010 0 3",0.795774647887324,142
"2 0 010 0 4",0.848101265822785,79
"2 0 010 0 5",0.842105263157895,19
"2 0 010 0 6",1,10
"2 0 010 0 7",1,4
"2 0 010 0 8",1,1
"2 0 010 0 9",NA,0
"2 0 010 0 10",NA,0
"3 0 010 0 -10",NA,0
"3 0 010 0 -9",0,1
"3 0 010 0 -8",0,11
"3 0 010 0 -7",0.0526315789473684,19
"3 0 010 0 -6",0.0392156862745098,51
"3 0 010 0 -5",0.171052631578947,76
"3 0 010 0 -4",0.096551724137931,145
"3 0 010 0 -3",0.195439739413681,307
"3 0 010 0 -2",0.236580516898608,503
"3 0 010 0 -1",0.333333333333333,783
"3 0 010 0 0",0.469291338582677,1270
"3 0 010 0 1",0.55521472392638,652
"3 0 010 0 2",0.688427299703264,337
"3 0 010 0 3",0.797927461139896,193
"3 0 010 0 4",0.83695652173913,92
"3 0 010 0 5",0.844827586206897,58
"3 0 010 0 6",0.964285714285714,28
"3 0 010 0 7",1,9
"3 0 010 0 8",0.75,4
"3 0 010 0 9",1,3
"3 0 010 0 10",1,2
"4 0 010 0 -10",0,5
"4 0 010 0 -9",0.0769230769230769,13
"4 0 010 0 -8",0,25
"4 0 010 0 -7",0.0285714285714286,35
"4 0 010 0 -6",0.0163934426229508,61
"4 0 010 0 -5",0.0535714285714286,112
"4 0 010 0 -4",0.154545454545455,220
"4 0 010 0 -3",0.172910662824208,347
"4 0 010 0 -2",0.256029684601113,539
"4 0 010 0 -1",0.313725490196078,816
"4 0 010 0 0",0.419786096256685,1122
"4 0 010 0 1",0.589635854341737,714
"4 0 010 0 2",0.68314606741573,445
"4 0 010 0 3",0.748322147651007,298
"4 0 010 0 4",0.851485148514851,202
"4 0 010 0 5",0.944954128440367,109
"4 0 010 0 6",0.923076923076923,52
"4 0 010 0 7",1,33
"4 0 010 0 8",1,14
"4 0 010 0 9",1,14
"4 0 010 0 10",1,1
"5 0 010 0 -10",0,4
"5 0 010 0 -9",0,15
"5 0 010 0 -8",0.04,25
"5 0 010 0 -7",0,47
"5 0 010 0 -6",0.0618556701030928,97
"5 0 010 0 -5",0.0518518518518519,135
"5 0 010 0 -4",0.0958333333333333,240
"5 0 010 0 -3",0.13,400
"5 0 010 0 -2",0.205940594059406,505
"5 0 010 0 -1",0.289120715350224,671
"5 0 010 0 0",0.430588235294118,850
"5 0 010 0 1",0.548048048048048,666
"5 0 010 0 2",0.682151589242054,409
"5 0 010 0 3",0.813504823151125,311
"5 0 010 0 4",0.828571428571429,175
"5 0 010 0 5",0.899082568807339,109
"5 0 010 0 6",0.967213114754098,61
"5 0 010 0 7",0.976190476190476,42
"5 0 010 0 8",0.958333333333333,24
"5 0 010 0 9",1,20
"5 0 010 0 10",1,11
"6 0 010 0 -10",0,9
"6 0 010 0 -9",0,19
"6 0 010 0 -8",0,37
"6 0 010 0 -7",0,45
"6 0 010 0 -6",0.0272727272727273,110
"6 0 010 0 -5",0.0617977528089888,178
"6 0 010 0 -4",0.0840336134453782,238
"6 0 010 0 -3",0.12303664921466,382
"6 0 010 0 -2",0.182539682539683,504
"6 0 010 0 -1",0.290273556231003,658
"6 0 010 0 0",0.408823529411765,680
"6 0 010 0 1",0.600700525394046,571
"6 0 010 0 2",0.66903073286052,423
"6 0 010 0 3",0.827298050139276,359
"6 0 010 0 4",0.88646288209607,229
"6 0 010 0 5",0.939024390243902,164
"6 0 010 0 6",0.969387755102041,98
"6 0 010 0 7",1,63
"6 0 010 0 8",1,36
"6 0 010 0 9",1,16
"6 0 010 0 10",1,19
"7 0 010 0 -10",0,20
"7 0 010 0 -9",0,23
"7 0 010 0 -8",0,37
"7 0 010 0 -7",0.0140845070422535,71
"7 0 010 0 -6",0.0087719298245614,114
"7 0 010 0 -5",0.0218579234972678,183
"7 0 010 0 -4",0.032967032967033,273
"7 0 010 0 -3",0.0657534246575342,365
"7 0 010 0 -2",0.149122807017544,456
"7 0 010 0 -1",0.243494423791822,538
"7 0 010 0 0",0.409660107334526,559
"7 0 010 0 1",0.619521912350598,502
"7 0 010 0 2",0.792079207920792,404
"7 0 010 0 3",0.831804281345566,327
"7 0 010 0 4",0.904761904761905,210
"7 0 010 0 5",0.926136363636364,176
"7 0 010 0 6",0.981132075471698,106
"7 0 010 0 7",1,73
"7 0 010 0 8",1,46
"7 0 010 0 9",1,35
"7 0 010 0 10",1,30
"8 0 010 0 -10",0,32
"8 0 010 0 -9",0,44
"8 0 010 0 -8",0,49
"8 0 010 0 -7",0,75
"8 0 010 0 -6",0.00884955752212389,113
"8 0 010 0 -5",0.0213903743315508,187
"8 0 010 0 -4",0.0381679389312977,262
"8 0 010 0 -3",0.038781163434903,361
"8 0 010 0 -2",0.102449888641425,449
"8 0 010 0 -1",0.167728237791932,471
"8 0 010 0 0",0.41991341991342,462
"8 0 010 0 1",0.622596153846154,416
"8 0 010 0 2",0.818181818181818,352
"8 0 010 0 3",0.889312977099237,262
"8 0 010 0 4",0.975369458128079,203
"8 0 010 0 5",0.967213114754098,183
"8 0 010 0 6",0.992700729927007,137
"8 0 010 0 7",1,94
"8 0 010 0 8",1,61
"8 0 010 0 9",1,44
"8 0 010 0 10",1,20
"9 0 010 0 -10",0,18
"9 0 010 0 -9",0,44
"9 0 010 0 -8",0,61
"9 0 010 0 -7",0,99
"9 0 010 0 -6",0.00684931506849315,146
"9 0 010 0 -5",0.00518134715025907,193
"9 0 010 0 -4",0,320
"9 0 010 0 -3",0.0176991150442478,339
"9 0 010 0 -2",0.038265306122449,392
"9 0 010 0 -1",0.113924050632911,395
"9 0 010 0 0",0.327956989247312,372
"9 0 010 0 1",0.651785714285714,336
"9 0 010 0 2",0.869047619047619,336
"9 0 010 0 3",0.942953020134228,298
"9 0 010 0 4",0.984905660377358,265
"9 0 010 0 5",0.988700564971751,177
"9 0 010 0 6",0.992424242424242,132
"9 0 010 0 7",1,109
"9 0 010 0 8",1,77
"9 0 010 0 9",1,57
"9 0 010 0 10",1,19
"1 1 010 0 -10",NA,0
"1 1 010 0 -9",NA,0
"1 1 010 0 -8",0,4
"1 1 010 0 -7",0.142857142857143,7
"1 1 010 0 -6",0,8
"1 1 010 0 -5",0.146341463414634,41
"1 1 010 0 -4",0.19,100
"1 1 010 0 -3",0.441176470588235,170
"1 1 010 0 -2",0.434466019417476,412
"1 1 010 0 -1",0.570462232243517,887
"1 1 010 0 0",0.650154004106776,3896
"1 1 010 0 1",0.759191176470588,544
"1 1 010 0 2",0.805687203791469,211
"1 1 010 0 3",0.875,80
"1 1 010 0 4",0.918918918918919,37
"1 1 010 0 5",1,5
"1 1 010 0 6",1,1
"1 1 010 0 7",NA,0
"1 1 010 0 8",NA,0
"1 1 010 0 9",NA,0
"1 1 010 0 10",NA,0
"2 1 010 0 -10",NA,0
"2 1 010 0 -9",0,3
"2 1 010 0 -8",0,6
"2 1 010 0 -7",0,10
"2 1 010 0 -6",0.08,25
"2 1 010 0 -5",0.170212765957447,47
"2 1 010 0 -4",0.173913043478261,92
"2 1 010 0 -3",0.333333333333333,189
"2 1 010 0 -2",0.457002457002457,407
"2 1 010 0 -1",0.558714462299135,809
"2 1 010 0 0",0.640316205533597,1771
"2 1 010 0 1",0.74198250728863,686
"2 1 010 0 2",0.800539083557951,371
"2 1 010 0 3",0.934343434343434,198
"2 1 010 0 4",0.946236559139785,93
"2 1 010 0 5",0.931818181818182,44
"2 1 010 0 6",0.882352941176471,17
"2 1 010 0 7",1,9
"2 1 010 0 8",1,10
"2 1 010 0 9",1,2
"2 1 010 0 10",1,3
"3 1 010 0 -10",0.333333333333333,3
"3 1 010 0 -9",0,4
"3 1 010 0 -8",0.181818181818182,11
"3 1 010 0 -7",0.0666666666666667,15
"3 1 010 0 -6",0.0625,48
"3 1 010 0 -5",0.225352112676056,71
"3 1 010 0 -4",0.210526315789474,152
"3 1 010 0 -3",0.282258064516129,248
"3 1 010 0 -2",0.428571428571429,462
"3 1 010 0 -1",0.559670781893004,729
"3 1 010 0 0",0.658803706823926,1187
"3 1 010 0 1",0.768506056527591,743
"3 1 010 0 2",0.844444444444444,495
"3 1 010 0 3",0.880794701986755,302
"3 1 010 0 4",0.964912280701754,171
"3 1 010 0 5",0.943181818181818,88
"3 1 010 0 6",0.941176470588235,34
"3 1 010 0 7",1,22
"3 1 010 0 8",1,9
"3 1 010 0 9",1,5
"3 1 010 0 10",1,2
"4 1 010 0 -10",0,10
"4 1 010 0 -9",0,11
"4 1 010 0 -8",0.0454545454545455,22
"4 1 010 0 -7",0.0975609756097561,41
"4 1 010 0 -6",0.125,72
"4 1 010 0 -5",0.138211382113821,123
"4 1 010 0 -4",0.230392156862745,204
"4 1 010 0 -3",0.277602523659306,317
"4 1 010 0 -2",0.410958904109589,511
"4 1 010 0 -1",0.539722572509458,793
"4 1 010 0 0",0.649765258215962,1065
"4 1 010 0 1",0.783711615487316,749
"4 1 010 0 2",0.835643564356436,505
"4 1 010 0 3",0.901023890784983,293
"4 1 010 0 4",0.95260663507109,211
"4 1 010 0 5",0.979452054794521,146
"4 1 010 0 6",0.96,75
"4 1 010 0 7",0.953488372093023,43
"4 1 010 0 8",1,16
"4 1 010 0 9",1,12
"4 1 010 0 10",1,2
"5 1 010 0 -10",0,16
"5 1 010 0 -9",0,16
"5 1 010 0 -8",0.0606060606060606,33
"5 1 010 0 -7",0.04,50
"5 1 010 0 -6",0.0520833333333333,96
"5 1 010 0 -5",0.0914634146341463,164
"5 1 010 0 -4",0.183035714285714,224
"5 1 010 0 -3",0.256797583081571,331
"5 1 010 0 -2",0.351129363449692,487
"5 1 010 0 -1",0.506389776357827,626
"5 1 010 0 0",0.659574468085106,752
"5 1 010 0 1",0.808176100628931,636
"5 1 010 0 2",0.870967741935484,527
"5 1 010 0 3",0.933025404157044,433
"5 1 010 0 4",0.946969696969697,264
"5 1 010 0 5",0.956284153005464,183
"5 1 010 0 6",1,113
"5 1 010 0 7",0.983050847457627,59
"5 1 010 0 8",1,41
"5 1 010 0 9",1,11
"5 1 010 0 10",1,10
"6 1 010 0 -10",0,14
"6 1 010 0 -9",0,20
"6 1 010 0 -8",0.0256410256410256,39
"6 1 010 0 -7",0.0454545454545455,66
"6 1 010 0 -6",0.0666666666666667,105
"6 1 010 0 -5",0.0903954802259887,177
"6 1 010 0 -4",0.163265306122449,294
"6 1 010 0 -3",0.243553008595989,349
"6 1 010 0 -2",0.404921700223714,447
"6 1 010 0 -1",0.535087719298246,570
"6 1 010 0 0",0.683641975308642,648
"6 1 010 0 1",0.842900302114804,662
"6 1 010 0 2",0.88981288981289,481
"6 1 010 0 3",0.954659949622166,397
"6 1 010 0 4",0.979020979020979,286
"6 1 010 0 5",0.990610328638498,213
"6 1 010 0 6",1,108
"6 1 010 0 7",1,67
"6 1 010 0 8",1,38
"6 1 010 0 9",1,23
"6 1 010 0 10",1,18
"7 1 010 0 -10",0,27
"7 1 010 0 -9",0,31
"7 1 010 0 -8",0,50
"7 1 010 0 -7",0.0131578947368421,76
"7 1 010 0 -6",0.036036036036036,111
"7 1 010 0 -5",0.0819672131147541,183
"7 1 010 0 -4",0.08,250
"7 1 010 0 -3",0.201923076923077,312
"7 1 010 0 -2",0.321052631578947,380
"7 1 010 0 -1",0.532293986636971,449
"7 1 010 0 0",0.73936170212766,564
"7 1 010 0 1",0.892138939670932,547
"7 1 010 0 2",0.949367088607595,474
"7 1 010 0 3",0.976253298153034,379
"7 1 010 0 4",0.990853658536585,328
"7 1 010 0 5",1,212
"7 1 010 0 6",0.984496124031008,129
"7 1 010 0 7",1,91
"7 1 010 0 8",1,60
"7 1 010 0 9",1,42
"7 1 010 0 10",1,28
"8 1 010 0 -10",0,28
"8 1 010 0 -9",0,23
"8 1 010 0 -8",0,59
"8 1 010 0 -7",0,95
"8 1 010 0 -6",0.0267857142857143,112
"8 1 010 0 -5",0.0402298850574713,174
"8 1 010 0 -4",0.0780487804878049,205
"8 1 010 0 -3",0.143344709897611,293
"8 1 010 0 -2",0.295399515738499,413
"8 1 010 0 -1",0.451612903225806,403
"8 1 010 0 0",0.76837416481069,449
"8 1 010 0 1",0.908203125,512
"8 1 010 0 2",0.967963386727689,437
"8 1 010 0 3",0.994949494949495,396
"8 1 010 0 4",0.988538681948424,349
"8 1 010 0 5",1,224
"8 1 010 0 6",1,143
"8 1 010 0 7",1,109
"8 1 010 0 8",1,54
"8 1 010 0 9",1,32
"8 1 010 0 10",1,34
"9 1 010 0 -10",0,31
"9 1 010 0 -9",0,44
"9 1 010 0 -8",0,59
"9 1 010 0 -7",0,99
"9 1 010 0 -6",0.00689655172413793,145
"9 1 010 0 -5",0.00540540540540541,185
"9 1 010 0 -4",0.0390070921985816,282
"9 1 010 0 -3",0.0793103448275862,290
"9 1 010 0 -2",0.173913043478261,322
"9 1 010 0 -1",0.437106918238994,318
"9 1 010 0 0",0.807387862796834,379
"9 1 010 0 1",NA,0
"9 1 010 0 2",NA,0
"9 1 010 0 3",NA,0
"9 1 010 0 4",NA,0
"9 1 010 0 5",NA,0
"9 1 010 0 6",NA,0
"9 1 010 0 7",NA,0
"9 1 010 0 8",NA,0
"9 1 010 0 9",NA,0
"9 1 010 0 10",NA,0
"1 0 010 1 -10",NA,0
"1 0 010 1 -9",NA,0
"1 0 010 1 -8",0,4
"1 0 010 1 -7",0,1
"1 0 010 1 -6",0,9
"1 0 010 1 -5",0.2,25
"1 0 010 1 -4",0.12987012987013,77
"1 0 010 1 -3",0.185714285714286,210
"1 0 010 1 -2",0.297348484848485,528
"1 0 010 1 -1",0.429390681003584,1395
"1 0 010 1 0",0.517059178743961,6624
"1 0 010 1 1",NA,0
"1 0 010 1 2",NA,0
"1 0 010 1 3",NA,0
"1 0 010 1 4",NA,0
"1 0 010 1 5",NA,0
"1 0 010 1 6",NA,0
"1 0 010 1 7",NA,0
"1 0 010 1 8",NA,0
"1 0 010 1 9",NA,0
"1 0 010 1 10",NA,0
"2 0 010 1 -10",0,3
"2 0 010 1 -9",0,5
"2 0 010 1 -8",0.0909090909090909,11
"2 0 010 1 -7",0,23
"2 0 010 1 -6",0.0434782608695652,46
"2 0 010 1 -5",0.141414141414141,99
"2 0 010 1 -4",0.17156862745098,204
"2 0 010 1 -3",0.237163814180929,409
"2 0 010 1 -2",0.295143212951432,803
"2 0 010 1 -1",0.402548725637181,1334
"2 0 010 1 0",0.524333925399645,2815
"2 0 010 1 1",0.629722921914358,794
"2 0 010 1 2",0.749379652605459,403
"2 0 010 1 3",0.805825242718447,206
"2 0 010 1 4",0.871559633027523,109
"2 0 010 1 5",0.911764705882353,34
"2 0 010 1 6",0.857142857142857,14
"2 0 010 1 7",1,5
"2 0 010 1 8",1,2
"2 0 010 1 9",1,1
"2 0 010 1 10",NA,0
"3 0 010 1 -10",0,2
"3 0 010 1 -9",0,4
"3 0 010 1 -8",0.05,20
"3 0 010 1 -7",0.0588235294117647,34
"3 0 010 1 -6",0.0555555555555556,90
"3 0 010 1 -5",0.11875,160
"3 0 010 1 -4",0.114285714285714,280
"3 0 010 1 -3",0.195564516129032,496
"3 0 010 1 -2",0.272215973003375,889
"3 0 010 1 -1",0.387295081967213,1464
"3 0 010 1 0",0.503780342220454,2513
"3 0 010 1 1",0.647107438016529,1210
"3 0 010 1 2",0.701188455008489,589
"3 0 010 1 3",0.760479041916168,334
"3 0 010 1 4",0.886904761904762,168
"3 0 010 1 5",0.942528735632184,87
"3 0 010 1 6",1,44
"3 0 010 1 7",1,21
"3 0 010 1 8",1,12
"3 0 010 1 9",1,5
"3 0 010 1 10",1,2
"4 0 010 1 -10",0,9
