"","V1","V2"
"8 0 000 0 -5",0.0153576129881527,2279
"8 0 000 0 -4",0.0323182100683654,3218
"8 0 000 0 -3",0.0602267359470949,4234
"8 0 000 0 -2",0.130560578661844,5530
"8 0 000 0 -1",0.245764029224312,6433
"8 0 000 0 0",0.526248581157775,7048
"8 0 000 0 1",0.773159144893112,6736
"8 0 000 0 2",0.895729720459612,5831
"8 0 000 0 3",0.950844197478094,4679
"8 0 000 0 4",0.978254960587116,3679
"8 0 000 0 5",0.988476773496579,2777
"8 0 000 0 6",0.995895330938943,1949
"8 0 000 0 7",0.99848828420257,1323
"8 0 000 0 8",1,873
"8 0 000 0 9",1,616
"8 0 000 0 10",0.997512437810945,402
"9 0 000 0 -10",0,342
"9 0 000 0 -9",0,526
"9 0 000 0 -8",0,785
"9 0 000 0 -7",0.000827814569536424,1208
"9 0 000 0 -6",0.00289519397799653,1727
"9 0 000 0 -5",0.00577081615828524,2426
"9 0 000 0 -4",0.00965600482800241,3314
"9 0 000 0 -3",0.0281724054900072,4153
"9 0 000 0 -2",0.0647827758554402,5202
"9 0 000 0 -1",0.15045719035744,6015
"9 0 000 0 0",0.521323171720448,6167
"9 0 000 0 1",0.865944372574386,6184
"9 0 000 0 2",0.945955492758742,5662
"9 0 000 0 3",0.981383541358155,4727
"9 0 000 0 4",0.990818467995803,3812
"9 0 000 0 5",0.997246127366609,2905
"9 0 000 0 6",0.999074502545118,2161
"9 0 000 0 7",1,1484
"9 0 000 0 8",0.999076638965836,1083
"9 0 000 0 9",1,737
"9 0 000 0 10",1,484
"1 1 000 0 -10",0,5
"1 1 000 0 -9",0,4
"1 1 000 0 -8",0,15
"1 1 000 0 -7",0.0833333333333333,36
"1 1 000 0 -6",0.0737704918032787,122
"1 1 000 0 -5",0.169620253164557,395
"1 1 000 0 -4",0.179025423728814,944
"1 1 000 0 -3",0.296788990825688,2180
"1 1 000 0 -2",0.378754897692643,4594
"1 1 000 0 -1",0.480427785276711,9631
"1 1 000 0 0",0.593910756267312,42961
"1 1 000 0 1",0.696174863387978,915
"1 1 000 0 2",0.743283582089552,335
"1 1 000 0 3",0.798029556650246,203
"1 1 000 0 4",0.933333333333333,90
"1 1 000 0 5",0.947368421052632,19
"1 1 000 0 6",0.666666666666667,3
"1 1 000 0 7",1,2
"1 1 000 0 8",1,2
"1 1 000 0 9",NA,0
"1 1 000 0 10",NA,0
"2 1 000 0 -10",0,23
"2 1 000 0 -9",0.024390243902439,41
"2 1 000 0 -8",0.0612244897959184,98
"2 1 000 0 -7",0.0646766169154229,201
"2 1 000 0 -6",0.0775,400
"2 1 000 0 -5",0.180081855388813,733
"2 1 000 0 -4",0.180640763462849,1467
"2 1 000 0 -3",0.26152337365152,3059
"2 1 000 0 -2",0.345551482839054,6002
"2 1 000 0 -1",0.455839188828604,11243
"2 1 000 0 0",0.58475458403395,24978
"2 1 000 0 1",0.693625598387503,7938
"2 1 000 0 2",0.774943167466532,3959
"2 1 000 0 3",0.852242744063325,1895
"2 1 000 0 4",0.923250564334086,886
"2 1 000 0 5",0.927536231884058,345
"2 1 000 0 6",0.962121212121212,132
"2 1 000 0 7",0.981132075471698,53
"2 1 000 0 8",1,35
"2 1 000 0 9",0.9375,16
"2 1 000 0 10",1,7
"3 1 000 0 -10",0.0222222222222222,45
"3 1 000 0 -9",0.0365853658536585,82
"3 1 000 0 -8",0.0205128205128205,195
"3 1 000 0 -7",0.0448548812664908,379
"3 1 000 0 -6",0.0708333333333333,720
"3 1 000 0 -5",0.121028744326778,1322
"3 1 000 0 -4",0.17037037037037,2430
"3 1 000 0 -3",0.254906711897262,4127
"3 1 000 0 -2",0.337470907680372,6445
"3 1 000 0 -1",0.466386143458264,10219
"3 1 000 0 0",0.585992491787893,17048
"3 1 000 0 1",0.707603004780332,8786
"3 1 000 0 2",0.800440793428171,4991
"3 1 000 0 3",0.862546816479401,2670
"3 1 000 0 4",0.922774869109948,1528
"3 1 000 0 5",0.936602870813397,836
"3 1 000 0 6",0.970521541950113,441
"3 1 000 0 7",0.972093023255814,215
"3 1 000 0 8",0.981481481481482,108
"3 1 000 0 9",1,56
"3 1 000 0 10",1,25
"4 1 000 0 -10",0.0175438596491228,114
"4 1 000 0 -9",0.0246305418719212,203
"4 1 000 0 -8",0.0226628895184136,353
"4 1 000 0 -7",0.0397350993377483,604
"4 1 000 0 -6",0.0683417085427136,995
"4 1 000 0 -5",0.0969802555168409,1722
"4 1 000 0 -4",0.15015533310321,2897
"4 1 000 0 -3",0.233450241122315,4562
"4 1 000 0 -2",0.316515739542906,6957
"4 1 000 0 -1",0.456499169435216,9632
"4 1 000 0 0",0.592201654194565,12695
"4 1 000 0 1",0.720963340847076,8429
"4 1 000 0 2",0.814185639229422,5710
"4 1 000 0 3",0.88432938584412,3631
"4 1 000 0 4",0.929848693259972,2181
"4 1 000 0 5",0.963984674329502,1305
