Field number,Header
0,DATE
1,GAME_NUMBER
2,DAY
3,VISITING_TEAM
4,VISITING_LEAGUE
5,VISITING_GAME_NUMBER
6,HOME_TEAM
7,HOME_LEAGUE
8,HOME_TEAM_GAME_NUMBER
9,VISITING_SCORE
10,HOME_SCORE
11,OUTS_CT
