YEAR,PHASE,RESP_BAT_ID,BAT_FLD_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI\
2015,D,hamij003,7,19,18,3,4,1,0,0,0,0,1,0,5,0,0,0,0,0\
2015,D,hammj002,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0\
2015,D,harvm001,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0\
2015,D,hendk001,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0\
2015,D,herne001,7,3,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0\
2015,D,herne001,8,12,10,4,4,0,0,0,0,0,2,1,3,0,0,0,0,0\
2015,D,heywj001,8,8,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,D,heywj001,9,8,6,3,7,1,0,1,0,2,2,0,2,0,0,0,0,0\
2015,D,hollm001,7,17,16,2,2,0,0,0,0,1,1,0,3,0,0,0,0,0\
2015,D,hosme001,3,21,21,4,7,0,0,1,0,5,0,0,4,0,0,0,0,0\
2015,D,jacka001,7,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0\
2015,D,jacka001,9,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0\
2015,D,jay-j001,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,D,johnk003,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,D,johnk003,11,3,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0\
2015,D,kendh001,4,22,22,6,10,1,0,1,0,4,0,0,2,1,0,0,0,0\
2015,D,kersc001,1,5,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,D,lackj001,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,D,lagaj001,8,8,7,3,5,2,0,0,0,0,1,0,0,0,0,0,0,0\
2015,D,lastt001,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,D,lestj001,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,D,lowrj001,11,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,D,marij002,8,7,7,3,4,1,0,0,0,0,0,0,2,0,0,0,0,0\
2015,D,martr004,2,18,15,3,5,2,0,0,0,1,1,0,3,1,2,0,0,0\
2015,D,matzs001,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,D,moliy001,2,8,8,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0\
2015,D,montm001,2,12,9,0,0,0,0,0,0,1,3,1,6,0,0,0,0,0\
2015,D,morak001,10,20,19,5,14,0,0,3,0,6,1,0,4,0,0,0,0,0\
2015,D,morem001,3,15,13,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0\
2015,D,mossb001,3,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0\
2015,D,mossb001,11,2,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0\
2015,D,mousm001,5,21,18,2,3,1,0,0,0,0,2,0,2,0,1,0,0,0\
2015,D,murpd006,4,21,21,7,17,1,0,3,0,5,0,0,3,0,0,0,0,0\
2015,D,napom001,3,6,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0\
2015,D,napom001,11,3,3,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0\
2015,D,navad001,2,5,5,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0\
2015,D,odorr001,4,21,18,5,9,1,0,1,0,2,1,0,4,0,2,0,0,0\
2015,D,orlap001,9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,D,pedej001,8,7,4,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0\
2015,D,pedej001,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0\
2015,D,pennc001,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,D,peraj001,6,15,14,2,3,1,0,0,0,1,1,0,6,0,0,0,0,0\
2015,D,peres002,2,18,14,4,10,0,0,2,0,4,2,0,3,0,2,0,0,0\
2015,D,phamt001,8,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0\
2015,D,phamt001,11,2,2,1,4,0,0,1,0,1,0,0,1,0,0,0,0,0\
2015,D,pillk001,8,21,21,7,12,2,0,1,0,4,0,0,5,1,0,0,0,0\
2015,D,piscs001,3,12,10,4,11,1,0,2,0,4,2,0,4,0,0,0,0,0\
2015,D,piscs001,9,6,6,2,5,0,0,1,0,2,0,0,4,0,0,0,0,0\
2015,D,puigy001,9,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0\
2015,D,puigy001,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,D,rasmc001,7,20,14,6,16,1,0,3,0,5,6,2,6,0,0,0,0,0\
2015,D,reveb001,7,24,23,7,7,0,0,0,0,1,1,0,0,0,0,0,0,0\
2015,D,reynm001,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,D,reynm001,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,D,riosa002,9,17,14,4,6,2,0,0,0,2,3,0,5,0,0,0,0,0\
2015,D,rizza001,3,15,14,3,9,0,0,2,0,2,1,0,4,1,0,0,0,0\
2015,D,rollj001,6,5,5,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0\
2015,D,rollj001,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,D,rossd001,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,D,ruggj001,7,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0\
2015,D,ruggj001,11,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,D,russa002,6,9,8,2,4,0,1,0,0,1,0,0,1,0,0,1,0,0\
2015,D,schwk001,7,7,6,3,9,0,0,2,0,2,1,0,2,0,0,0,0,0\
2015,D,schwk001,9,4,3,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0\
2015,D,schwk001,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,D,seagc001,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,D,seagc001,6,16,15,2,3,1,0,0,0,0,1,0,8,0,0,0,0,0\
2015,D,smoaj001,3,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0\
2015,D,solej001,9,12,7,4,11,1,0,2,0,4,5,0,1,0,0,0,0,0\
2015,D,solej001,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0\
2015,D,sprig001,9,22,19,4,8,1,0,1,0,3,3,0,10,0,0,0,0,0\
2015,D,stubd001,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
